customer_id,first_name,last_name,gender,age,email,phone_number,city,state,country,signup_date,membership_type
1,Tanya,Goel,Male,65,diyakrishna@kant-sengupta.com,0112552956,Delhi,Delhi,India,2021-12-17,Basic
2,Indranil,Vohra,Male,65,samaira11@khanna-mall.info,8696207264,Hyderabad,Telangana,India,2025-01-27,Basic
3,Tara,Vala,Male,55,ichana@kannan.com,8196954027,Jaipur,Rajasthan,India,2023-11-27,Basic
4,Ela,Setty,Male,31,daverania@gmail.com,06658274505,Mumbai,Maharashtra,India,2024-02-22,Basic
5,Fateh,Singhal,Male,53,farhan78@kanda.com,+910505101870,Lucknow,Uttar Pradesh,India,2022-01-01,Basic
6,Lakshit,Ranganathan,Female,32,yakshitshenoy@chandra.com,05143776342,Jaipur,Rajasthan,India,2023-06-09,Basic
7,Advika,Gulati,Male,66,xtailor@yahoo.com,3620594381,Chennai,Tamil Nadu,India,2023-01-19,Prime
8,Divyansh,Bhatti,Female,35,psom@sarna-sarkar.biz,4414249653,Kolkata,West Bengal,India,2025-12-02,Basic
9,Darshit,Kant,Male,23,ugour@edwin.com,01661251589,Pune,Maharashtra,India,2024-06-21,Basic
10,Saksham,Ravel,Female,56,balanshanaya@guha-batra.info,+911818753586,Pune,Maharashtra,India,2023-11-21,Basic
11,Ivan,Anand,Female,52,manjarisampath@hotmail.com,0258904314,Mumbai,Maharashtra,India,2024-09-26,Basic
12,Anvi,Bhatia,Male,53,shamikbatta@sidhu.net,07491150742,Kolkata,West Bengal,India,2024-02-04,Basic
13,Mamooty,Raman,Female,54,iroy@sha.com,03775796154,Lucknow,Uttar Pradesh,India,2023-12-31,Basic
14,Nakul,Bhargava,Male,60,vivaan46@hotmail.com,9595626384,Delhi,Delhi,India,2025-06-05,Basic
15,Kanav,Varghese,Male,32,raghav94@yahoo.com,+916682852037,Chennai,Tamil Nadu,India,2024-02-12,Premium
16,Manjari,Rama,Female,47,zaina10@rau-sura.com,03825325402,Kolkata,West Bengal,India,2023-05-03,Prime
17,Jiya,Lala,Male,41,neysatailor@yahoo.com,01285402764,Pune,Maharashtra,India,2024-02-19,Basic
18,Zeeshan,Bandi,Male,56,oorjasharaf@manda.org,9501956071,Chennai,Tamil Nadu,India,2026-04-18,Prime
19,Anaya,Sem,Male,28,kartik12@hotmail.com,3313663662,Jaipur,Rajasthan,India,2025-09-22,Basic
20,Siya,D’Alia,Male,61,vivaanrama@gmail.com,3199175138,Chennai,Tamil Nadu,India,2025-10-24,Basic
21,Anya,Varkey,Male,70,vidurdutta@bhakta.biz,08930281640,Mumbai,Maharashtra,India,2021-07-06,Basic
22,Yasmin,Ganesan,Female,35,dayaladvik@zacharia.com,03684354559,Pune,Maharashtra,India,2023-12-27,Basic
23,Adah,Swamy,Female,31,dharmajanmann@rout-gandhi.com,+915492405629,Lucknow,Uttar Pradesh,India,2024-07-11,Prime
24,Rasha,Sekhon,Female,27,gillaarush@kale.com,04375413289,Kolkata,West Bengal,India,2023-05-17,Basic
25,Yashvi,Bakshi,Female,65,xdas@gmail.com,5529041596,Hyderabad,Telangana,India,2022-12-30,Prime
26,Shamik,Sastry,Female,41,lakshit42@yahoo.com,2475497232,Lucknow,Uttar Pradesh,India,2025-02-24,Basic
27,Pihu,Shere,Female,23,tbiswas@gmail.com,6799114686,Bengaluru,Karnataka,India,2026-02-09,Prime
28,Jhanvi,Sarma,Male,58,tchandran@hotmail.com,1177644383,Delhi,Delhi,India,2024-02-26,Basic
29,Ivana,Som,Male,42,mvenkataraman@hotmail.com,+911529378269,Kolkata,West Bengal,India,2023-05-05,Basic
30,Eva,Barad,Female,53,raunavya@brar.com,+916276241661,Ahmedabad,Gujarat,India,2024-06-30,Premium
31,Tiya,Dayal,Male,61,samaira16@kapur.com,5712574578,Mumbai,Maharashtra,India,2021-05-19,Premium
32,Devansh,Savant,Female,25,battayashvi@lall.com,1942114094,Chennai,Tamil Nadu,India,2023-12-18,Basic
33,Ivana,Sandal,Female,18,chirag79@gmail.com,08448035640,Bengaluru,Karnataka,India,2023-02-16,Premium
34,Akarsh,Bhagat,Male,50,amani65@gmail.com,5167784348,Chennai,Tamil Nadu,India,2025-01-22,Premium
35,Nehmat,Vohra,Male,27,hbalasubramanian@saraf.org,07046489375,Chennai,Tamil Nadu,India,2022-07-28,Basic
36,Hunar,Mammen,Male,56,zoya70@hotmail.com,+913230784458,Bengaluru,Karnataka,India,2026-03-24,Basic
37,Charvi,Badal,Male,41,madhupkala@sharaf.net,08301955482,Mumbai,Maharashtra,India,2024-04-25,Premium
38,Damini,Solanki,Male,21,indransjani@gmail.com,2917253431,Chennai,Tamil Nadu,India,2023-02-14,Basic
39,Eva,Kunda,Male,23,nitaraborra@bhargava.info,3591081016,Lucknow,Uttar Pradesh,India,2022-11-23,Prime
40,Uthkarsh,Aurora,Male,26,udey@kadakia.com,01090386046,Delhi,Delhi,India,2023-08-18,Prime
41,Yakshit,Dugar,Male,34,zkadakia@yahoo.com,03777931400,Jaipur,Rajasthan,India,2021-07-02,Basic
42,Badal,Badami,Female,31,shloktalwar@yahoo.com,9064007094,Lucknow,Uttar Pradesh,India,2022-01-27,Premium
43,Farhan,Vala,Female,43,yuvaan82@deshmukh-rao.info,2831598367,Hyderabad,Telangana,India,2023-06-24,Premium
44,Farhan,Anne,Female,51,adira26@gmail.com,+913994323661,Pune,Maharashtra,India,2024-11-26,Basic
45,Uthkarsh,Salvi,Male,22,uiyer@dhar-kara.com,00390601045,Hyderabad,Telangana,India,2024-08-17,Basic
46,Rasha,Guha,Male,55,lmallick@hotmail.com,04632216903,Lucknow,Uttar Pradesh,India,2022-11-20,Basic
47,Divit,Sodhi,Male,32,kchanda@hotmail.com,03321854299,Delhi,Delhi,India,2024-04-26,Basic
48,Dhruv,Sastry,Female,22,shlok82@gmail.com,02678096425,Mumbai,Maharashtra,India,2024-11-10,Basic
49,Armaan,Mane,Female,31,bhaktakashvi@hotmail.com,09015422426,Chennai,Tamil Nadu,India,2023-08-27,Basic
